l;Destination;Channel;AdvanceDays;TicketWeekday;DepartureWeekday;Fare;miles
DTW;ATL;Offline;22;Sunday;Monday;167.91;596
DTW;ATL;Offline;35;Tuesday;Tuesday;105.17;596
DTW;ATL;Offline;26;Tuesday;Sunday;158.235;596
DTW;ATL;Expedia;26;Sunday;Friday;136.28;596
DTW;ATL;Offline;63;Monday;Monday;140.39;596
DTW;ATL;Travelocity;4;Friday;Tuesday;154.7466667;596
DTW;ATL;Offline;35;Friday;Friday;135.5033333;596
DTW;ATL;Offline;20;Monday;Sunday;160.2028571;596
DTW;ATL;Expedia;24;Wednesday;Saturday;82.79;596
DTW;ATL;Travelocity;32;Tuesday;Saturday;82.79;596
DTW;ATL;Offline;26;Sunday;Friday;129.305;596
DTW;ATL;Offline;75;Friday;Wednesday;87.7175;596
DTW;ATL;Expedia;5;Wednesday;Monday;150.23;596
DTW;ATL;Offline;24;Wednesday;Saturday;128.7933333;596
DTW;ATL;Offline;8;Friday;Saturday;123.6833333;596
DTW;ATL;Offline;44;Tuesday;Thursday;139.1425;596
DTW;ATL;Offline;39;Tuesday;Saturday;129.3;596
DTW;ATL;Offline;38;Monday;Thursday;169.0166667;596
DTW;ATL;Offline;15;Tuesday;Wednesday;163.6623529;596
DTW;ATL;Offline;70;Monday;Monday;87.78;596
DTW;ATL;Online Other;26;Thursday;Tuesday;95.775;596
DTW;ATL;Offline;42;Tuesday;Tuesday;78.14;596
DTW;ATL;Offline;67;Sunday;Thursday;87.44;596
DTW;ATL;Orbitz;35;Friday;Friday;152.56;596
DTW;ATL;Offline;46;Wednesday;Sunday;104.8566667;596
DTW;ATL;Offline;27;Thursday;Wednesday;118.3357778;596
DTW;ATL;Offline;101;Tuesday;Friday;96.74;596
DTW;ATL;Expedia;7;Saturday;Saturday;108.605;596
DTW;ATL;Offline;40;Saturday;Thursday;145.58;596
DTW;ATL;Orbitz;8;Friday;Saturday;106.05;596
DTW;ATL;Online Other;5;Wednesday;Monday;204.90125;596
DTW;ATL;Travelocity;70;Monday;Monday;92.1;596
DTW;ATL;Offline;70;Thursday;Thursday;85.115;596
DTW;ATL;Orbitz;11;Friday;Tuesday;73.48;596
DTW;ATL;Expedia;33;Thursday;Tuesday;67.91;596
DTW;ATL;Offline;77;Monday;Monday;96.74;596
DTW;ATL;Travelocity;72;Monday;Wednesday;87.44;596
DTW;ATL;Offline;42;Friday;Friday;147.91;596
DTW;ATL;Offline;33;Thursday;Tuesday;64.19;596
DTW;ATL;Orbitz;5;Wednesday;Monday;166.51;596
DTW;ATL;Offline;79;Monday;Wednesday;96.74;596
DTW;ATL;Orbitz;22;Thursday;Friday;106.05;596
DTW;ATL;Expedia;46;Tuesday;Saturday;82.79;596
DTW;ATL;Offline;49;Tuesday;Tuesday;73.49;596
DTW;ATL;Offline;45;Monday;Thursday;120;596
DTW;ATL;Orbitz;27;Thursday;Wednesday;73.48;596
DTW;ATL;Offline;18;Friday;Tuesday;101.6;596
